akceptować	zaakceptować
brać pod włos	wziąć pod włos
garbować	wygarbować
wyprawiać	wyprawić
preparować	spreparować
preparować	spreparować
preparować	spreparować
impregnować	zaimpregnować
konserwować	zakonserwować
zachowywać	zachować
woskować	nawoskować
odbarwiać	odbarwić
urywać się	urwać się
oderwać się	odrywać się
cynkować	ocynkować
foliować	zafoliować
laminować	zalaminować
fornirować	ofornirować
montować	zmontować
montować	zmontować
portretować	sportretować
portretować	sportretować
karykaturować	skarykaturować
karykaturować	skarykaturować
redagować	zredagować
redagować	zredagować
poprawiać	poprawić
adiustować	zaadiustować
adiustować	zadiustować
dubbingować	zdubbingować
rychtować	wyrychtować
rozgrabiać	rozgrabić
podbijać bębenka	podbić bębenka
podkadzać	podkadzić
przypochlebiać	przypochlebić
przypochlebiać się	przypochlebić się
przeczekiwać	przeczekać
odsiadywać	odsiedzieć
opalać się	opalić się
przypiekać się	przypiec się
spiekać się	spiec się
przyrumieniać się	przyrumienić się
spalać się	spalić się
wypalać	wypalić
opalać się	opalić się
wyszydzać	wyszydzić
wyśmiewać	wyśmiać
wróżyć	wywróżyć
dekonspirować	zdekonspirować
wróżyć z ręki	wywróżyć z ręki
wykukiwać	wykukać
wróżyć	wywróżyć
wciągać	wciągnąć
wikłać	zawikłać
plątać	poplątać
kwitować	pokwitować
kwitować	skwitować
świergotać	zaświergotać
rozdziawiać się	rozdziawić się
rozdziawiać się	rozdziawić się
rozdziawiać	rozdziawić
spowijać się	spowinąć się
uformować się	formować się
uwypuklać się	uwypuklić się
kształtować się	ukształtować się
przybierać	przybrać
nabierać	nabrać
uwydatniać się	uwydatnić się
uwypuklać się	uwypuklić się
uwyraźniać się	uwyraźnić się
odsuwać się	odsunąć się
oddalać się	oddalić się
odsuwać się	odsunąć się
obniżać się	obniżyć się
osuwać się	osunąć się
obsuwać się	obsunąć się
oddawać się	oddać się
pogrążać się	pogrążyć się
pomykać	pomknąć
zapowiadać	zapowiedzieć
obiecywać	obiecać
przebywać	przebyć
przemykać	przemknąć
przemykać się	przemknąć się
dochodzić do wniosku	dojść do wniosku
przemykać	przemknąć
wyciągać wniosek	wyciągnąć wniosek
wyrozumowywać	wyrozumować
wysnuwać wniosek	wysnuć wniosek
dedukować	wydedukować
rozbijać się	rozbić się
zawalać się	zawalić się
załamywać się	załamać się
załamywać się	załamać się
ustawiać się	ustawić się
ustawiać się	ustawić się
ustawiać się	ustawić się
wyhamowywać	wyhamować
wyhamowywać	wyhamować
tłumić	stłumić
wyhamowywać	wyhamować
opanowywać	opanować
zapanowywać	zapanować
wysuwać się	wysunąć się
zapluwać	zapluć
tężeć	stężeć
zastygać	zastygnąć
gęstnieć	zgęstnieć
zanieczyszczać się	zanieczyścić się
zastygać	zastygnąć
jarać się	zjarać się
zwęglać się	zwęglić się
zwęglać się	zwęglić się
spopielać się	spopielić się
zapluwać się	zapluć się
spowinowacać się	spowinowacić się
spowinowacać	spowinowacić
koligacić	skoligacić
spowinowacić	skoligacić
przesiedlać się	przesiedlać
przesiedlać	przesiedlić
przenosić	przenieść
waśnić	powaśnić
waśnić	zwaśnić
asymilować się	zasymilować się
przystosowywać się	przystosować się
dostosowywać się	dostosować się
asymilować	zasymilować
przystosowywać	przystosować
drgać	drgnąć
drgać	zadrgać
drżeć	zadrżeć
kruszyć się	pokruszyć się
rozkruszać się	rozkruszyć się
oblepiać	oblepić
oklejać	okleić
obklejać	obkleić
oblepiać	oblepić
stawiać kabałę	postawić kabałę
stawiać karty	postawić karty
pykać się	pyknąć się
pykać	pyknąć
oblepiać	oblepić
oblepiać	oblepić
odlatywać	odlecieć
pęcznieć	napęcznieć
niszczyć się	zniszczyć się
niszczeć	zniszczeć
zataczać	zatoczyć
wtaczać	wtoczyć
zakreślać	zakreślić
zataczać	zatoczyć
zakręcać	zakręcić
materializować się	zmaterializować się
walać się	uwalać się
uginać się	ugiąć się
zwalać się	zwalić się
zwalić się	walić się
chudnąć	schudnąć
szczupleć	wyszczupleć
tracić na wadze	stracić na wadze
mizernieć	zmizernieć
zdradzać	zdradzić
miąć się	zmiąć się
wynaradawiać	wynarodowić
germanizować	zgermanizować
zniemczać	zniemczyć
hellenizować	zhellenizować
obrabiać	obrobić
obrabiać	obrobić
obrabiać	obrobić
podporządkowywać się	podporządkować się
oskubywać	oskubać
uginać się	ugiąć się
sypać się	sypnąć się
zsypywać się	zsypać się
sypać się	sypnąć się
obsypywać się	obsypać się
odjeżdżać	odjechać
sypać się	sypnąć się
okrzesywać	okrzesać
sypnąć się	sypać się
ogładzać	ogładzić
przeforsowywać	przeforsować
przepierać	przeprzeć
przepierać	przeprać
prać	wyprać
sypać się	sypnąć się
rozsypywać się	rozsypać się
pozostawać	pozostać
zostawać	zostać
wybraniać	wybronić
ratować	wyratować
ratować	uratować
reanimować	zreanimować
przywracać ... do życia	przywrócić ... do życia
ożywiać	ożywić
skomasować	komasować
scalać	scalić
specjalizować się	wyspecjalizować się
próbować	spróbować
podejmować próby	podjąć próby
podejmować wysiłki	podjąć wysiłki
dobijać się	dobić się
dokładać starań	dołożyć starań
podejmować starania	podjąć starania
poruszać niebo i ziemię	poruszyć niebo i ziemię
poruszać niebo i piekło	poruszyć niebo i piekło
poruszać wszystkie sprężyny	poruszyć wszystkie sprężyny
stawać na głowie	stanąć na głowie
stawać na rzęsach	stanąć na rzęsach
stawać na uszach	stanąć na uszach
wychodzić z siebie	wyjść z siebie
wychodzić ze skóry	wyjść ze skóry
wyłazić ze skóry	wyleźć ze skóry
rozkładać się	rozłożyć się
butwieć	zbutwieć
fermentować	sfermentować
gnić	zgnić
próchnieć	spróchnieć
patentować	opatentować
zalecać się	zalecić się
podrywać	poderwać
startować	wystartować
uderzać do panny	uderzyć do panny
uderzać do dziewczyny	uderzyć do dziewczyny
uderzać w konkury	uderzyć w konkury
umizgać się	umizgnąć się
umizgiwać się	umizgnąć się
psuć się	zepsuć się
zrównywać się	zrównać się
sypać się	sypnąć się
dezorganizować się	zdezorganizować się
rozprzęgać się	rozprząc się
rozprzęgać się	rozprzęgnąć się
unifikować	zunifikować
unifikować	zunifikować
rozdzierać się	rozedrzeć się
rozrywać się	rozerwać się
synchronizować	zsynchronizować
przywierać	przywrzeć
przywierać	przywrzeć
przylepiać się	przylepić się
przyrastać	przyrosnąć
przyrastać	przyrosnąć
przyrastać	przyrosnąć
przymarzać	przymarznąć
upowszechniać się	upowszechnić się
denominować	zdenominować
doliczać	doliczyć
odliczać	odliczyć
doliczyć	doliczać
notować	zanotować
zapisywać	zapisać
dublować	zdublować
dublować	zdublować
nadpłacać	nadpłacić
naliczać	naliczyć
kapitalizować	skapitalizować
odliczać	odliczyć
odmierzać	odmierzyć
odliczać	odliczyć
liczyć	policzyć
opodatkowywać	opodatkować
oprocentowywać	oprocentować
spłacać	spłacić
odrabiać	odrobić
odpracowywać	odpracować
poręczać	poręczyć
poręczać	poręczyć
żyrować	podżyrować
potrącać	potrącić
potrącać	potrącić
odtrącać	odtrącić
przepłacać	przepłacić
przepłacać	przepłacić
przysądzać	przysądzić
zasądzać	zasądzić
refinansować	zrefinansować
restaurować	odrestaurować
przewartościowywać	przewartościować
rewaluować	zrewaluować
bałamucić	zbałamucić
przystawiać się	przystawić się
dowalać się	dowalić się
dostawiać się	dostawić się
podwalać się	podwalić się
przywalać się	przywalić się
uwodzić	uwieść
odbijać	odbić
kusić	skusić
zalecać się	zalecić się
naciągać	naciągnąć
naparzać się	naparzyć się
zaparzać się	zaparzyć się
konwertować	skonwertować
konwertować	skonwertować
uiszczać	uiścić
umarzać	umorzyć
umarzać	umorzyć
waloryzować	zwaloryzować
wyrównywać	wyrównać
wpłacać	wpłacić
odwzajemniać	odwzajemnić
odpłacać	odpłacić
egzekwować	wyegzekwować
egzekwować	wyegzekwować
wciągać	wciągnąć
wpisywać	wpisać
księgować	zaksięgować
aktywizować	zaktywizować
uaktywniać	uaktywnić
ożywiać	ożywić
wzmagać	wzmóc
dezaktywizować	zdezaktywizować
destabilizować	zdestabilizować
stabilizować	ustabilizować
normalizować	znormalizować
normalizować	normować
ćwiczyć	wyćwiczyć
ćwiczyć	wydoskonalić
trenować	wytrenować
szlifować	oszlifować
udoskonalać	udoskonalić
ugładzać	ugładzić
wygładzać	wygładzić
wyszlifowywać	wyszlifować
gimnastykować	wygimnastykować
dyscyplinować	zdyscyplinować
dyscyplinować	zdyscyplinować
subordynować	zsubordynować
brać w cugle	wziąć w cugle
brać w karby	wziąć w karby
brać w ryzy	wziąć w ryzy
ruszać	ruszyć
ruszać	ruszyć
ruszać	ruszyć
ruszać	ruszyć
ruszać	ruszyć
naruszać	naruszyć
napoczynać	napocząć
akceptować	zaakceptować
akceptować	zaakceptować
zatwierdzać	zatwierdzić
zgadzać	zgodzić
godzić się	zgodzić się
dogadywać się	dogadać się
sprzeczać się	posprzeczać się
syntetyzować	zsyntetyzować
uogólniać	uogólnić
poskramiać	poskromić
włazić na głowę	wleźć na głowę
wsiadać na głowę	wsiąść na głowę
wchodzić na kark	wejść na kark
włazić na kark	wleźć na kark
wsiadać na kark	wsiąść na kark
włazić na łeb	wleźć na łeb
włazić na łeb	wejść na łeb
wsiadać na łeb	wsiąść na łeb
okręcać wokół palca	okręcić wokół palca
brać pod pantofel	wziąć pod pantofel
wpieprzać się	wpieprzyć się
wpierdalać się	wpierdolić się
wtykać nos w nie swoje sprawy	wetknąć nos w nie swoje sprawy
wsadzać nos w nie swoje sprawy	wsadzić nos w nie swoje sprawy
wścibiać nos w nie swoje sprawy	wścibić nos w nie swoje sprawy
wtykać nos	wetknąć nos
wsadzać nos	wsadzić nos
wścibiać nos	wścibić nos
wścibiać się	wścibić się
wściubiać się	wściubić się
wsadzać nos w cudze sprawy	wsadzić nos w cudze sprawy
wtykać nos w cudze sprawy	wetknąć nos w cudze sprawy
wścibiać nos w cudze sprawy	wścibić nos w cudze sprawy
wpychać nos	wepchnąć nos
wpychać nos w nie swoje sprawy	wepchnąć nos w nie swoje sprawy
wpychać nos w cudze sprawy	wepchnąć nos w cudze sprawy
dematerializować	zdematerializować
dematerializować	zdematerializować
materializować	zmaterializować
ryczałtować	zryczałtować
przysposabiać	przysposobić
przygarniać	przygarnąć
narzucać się	narzucić się
nastręczać się	nastręczyć się
przeciwstawiać się	przeciwstawić się
stawać dęba	stanąć dęba
stawać okoniem	stanąć okoniem
stawać sztorcem	stanąć sztorcem
stawiać czoła	stawić czoła
stawiać czoło	stawić czoło
stawiać opór	stawić opór
bojkotować	zbojkotować
rozkochiwać	rozkochać
rozmiłowywać	rozmiłować
ubłagiwać	ubłagać
wybłagiwać	wybłagać
ubłagiwać	ubłagać
przebłagiwać	przebłagać
zamontowywać	zamontować
rozminowywać	rozminować
odchwaszczać	odchwaścić
opielać	opleć
wypielać	wypielić
odsłaniać	odsłonić
wydeptywać	wydeptać
wydeptywać	wydeptać
odwodzić	odwieść
odwodzić	odwieść
odciągać	odciągnąć
powstrzymywać	powstrzymać
odwodzić	odwieść
odciągać	odciągnąć
odwodzić	odwieść
przetrzymywać	przetrzymać
przetrzymywać	przetrzymać
przetrzymywać	przetrzymać
przetrzymywać	przetrzymać
wykorzeniać	wykorzenić
wykorzeniać	wykorzenić
wyżalać się	wyżalić się
zwierzać się	zwierzyć się
wstępować w związek małżeński	wstąpić w związek małżeński
brać ślub	wziąć ślub
chajtać się	chajtnąć się
niweczyć	zniweczyć
unicestwiać	unicestwić
wychodzić za mąż	wyjść za mąż
iść za mąż	pójść za mąż
żenić się	ożenić się
wydawać się za mąż	wydać się za mąż
brać za żonę	wziąć za żonę
buntować się	zbuntować się
podnosić głowę	podnieść głowę
buntować się	zbuntować się
legitymizować	zalegitymizować
nacinać	naciąć
sankcjonować	usankcjonować
przegryzać	przegryźć
przegryzać	przegryźć
zagryzać	zagryźć
popijać	popić
zapijać	zapić
przegryzać	przegryźć
przekłuwać	przekłuć
przerąbywać	przerąbać
przerąbywać	przerąbać
zaorywać	zaorać
zorywać	zorać
spulchniać	spulchnić
zbliżać	zbliżyć
przykładać	przyłożyć
przyciskać	przycisnąć
przytulać	przytulić
przygarniać	przygarnąć
przyswajać	przyswoić
opanowywać	opanować
wydziedziczać	wydziedziczyć
łykać	łyknąć
wchłaniać	wchłonąć
wyklinać	wykląć
zaprzeczać	zaprzeczyć
odmawiać	odmówić
wyklinać	wykląć
przyswajać	przyswoić
asymilować	zasymilować
wchłaniać	wchłonąć
zapożyczać	zapożyczyć
zawłaszczać	zawłaszczyć
zastraszać	zastraszyć
przeklinać	przekląć
zapoznawać	zapoznać
detronizować	zdetronizować
brać	wziąć
zaczerpywać	zaczerpnąć
detronizować	zdetronizować
dekapitalizować się	zdekapitalizować się
zużywać się	zużyć się
ucierać	utrzeć
rozcinać	rozciąć
ruszać się	ruszyć się
unosić	unieść
unosić	unieść
unosić	unieść
unosić	unieść
podnosić	podnieść
obrzezywać	obrzezać
obrzezywać	obrzezać
przemarzać	przemarznąć
zamarzać	zamarznąć
marznąć	zmarznąć
przemarzać	przemarznąć
przemęczać	przemęczyć
garbić	zgarbić
iść w ślady	pójść w ślady
iść śladem	pójść śladem
wstępować w ślady	wstąpić w ślady
mordować	zmordować
utrudzać	utrudzić
tłamsić	stłamsić
ograniczać	ograniczyć
tłamsić	stłamsić
tłamsić	stłamsić
europeizować się	zeuropeizować się
polszczyć się	spolszczyć się
wynaradawiać się	wynarodowić się
wykorzeniać się	wykorzenić się
wykorzeniać	wykorzenić
udręczać	udręczyć
wycieńczać	wycieńczyć
wyniszczać	wyniszczyć
wtajemniczać	wtajemniczyć
dopuszczać do tajemnicy	dopuścić do tajemnicy
wygładzać	wygłodzić
rozorywać	rozorać
rozrąbywać	rozrąbać
przerąbywać	przerąbać
zagładzać	zagłodzić
kłuć	ukłuć
zagładzać	zagłodzić
kłuć	ukłuć
zadrapywać	zadrapać
hartować	zahartować
hartować	zahartować
uodparniać	uodpornić
uodporniać	uodpornić
hartować	zahartować
czcić	uczcić
uświetniać	uświetnić
chrzcić	ochrzcić
chrzcić	ochrzcić
przebierać	przebrać
przebierać	przebrać
starzeć się	zestarzeć się
zakłócać	zakłócić
mieszać	zamieszać
buntować	zbuntować
podburzać	podburzyć
dusić się	udusić się
omdlewać	omdleć
mdleć	zemdleć
tracić przytomność	stracić przytomność
omdlewać	omdleć
udźwięczniać	udźwięcznić
ubezdźwięczniać	ubezdźwięcznić
unosawiać	unosowić
kneblować	zakneblować
ślinić się	zaślinić się
uciszać	uciszyć
unieszkodliwiać	unieszkodliwić
ziewać	ziewnąć
formułować się	sformułować się
zamęczać	zamęczyć
kształtować się	ukształtować się
konstytuować się	ukonstytuować się
zaszczuwać	zaszczuć
zaszczuwać	zaszczuć
powielać	powielić
precyzować	sprecyzować
uściślać	uściślić
szlifować	oszlifować
wyszlifowywać	wyszlifować
wyszlifowywać	wyszlifować
oheblowywać	oheblować
wyślizgiwać	wyślizgać
przeciekać	przeciec
przeciekać	przecieknąć
mijać	minąć
maltretować	zmaltretować
męczyć	zmęczyć
podbudowywać się	podbudować się
poprzysięgać	poprzysiąc
poprzysięgać	poprzysiąc
gratulować	pogratulować
winszować	powinszować
przechodzić	przejść
kpić	zakpić
zarzekać się	zarzec się
zażegnywać się	zażegnać się
zarzekać się	zarzec się
zaprzeczać	zaprzeczyć
negować	zanegować
przyswajać	przyswoić
asymilować	zasymilować
pobierać	pobrać
brać	wziąć
wypowiadać	wypowiedzieć
odmawiać	odmówić
wchłaniać	wchłonąć
absorbować	zaabsorbować
pochłaniać	pochłonąć
przyjmować	przyjąć
resorbować	zresorbować
zatrzymywać	zatrzymać
przepuszczać	przepuścić
uplatać	upleść
różnicować	zróżnicować
dzielić	podzielić
klasyfikować	sklasyfikować
kategoryzować	skategoryzować
kwalifikować	zakwalifikować
segregować	posegregować
sortować	posortować
typizować	stypizować
grupować	zgrupować
grupować	pogrupować
wycieniowywać	wycieniować
dywersyfikować	zdywersyfikować
indywidualizować	zindywidualizować
odindywidualizowywać	odindywidualizować
depersonalizować	zdepersonalizować
odpersonalizowywać	odpersonalizować
polaryzować	spolaryzować
polaryzować	spolaryzować
rozwarstwiać	rozwarstwić
nastawiać	nastawić
schładzać	schłodzić
dokumentować	udokumentować
schładzać się	schłodzić się
wchłaniać się	wchłonąć się
wsysać się	wessać się
przekazywać	przekazać
wysyłać	wysłać
przekazywać	przekazać
aktualizować	zaktualizować
nowelizować	znowelizować
dochodzić	dojść
uaktualniać	uaktualnić
zaparzać się	zaparzyć się
uwspółcześniać	uwspółcześnić
zwoływać się	zwołać się
skreślać	skreślić
wznawiać	wznowić
przywracać do życia	przywrócić do życia
anonsować	zaanonsować
melinować	zamelinować
meldować się	zameldować się
meldować się	zameldować się
reinterpretować	zreinterpretować
rejterować	zrejterować
rejterować	zrejterować
chłopieć	schłopieć
ukorzeniać się	ukorzenić się
rozpożyczać	rozpożyczyć
taszczyć	przetaszczyć
tachać	przetachać
wpełzać	wpełznąć
wpełzać	wpełznąć
ostrzyć	naostrzyć
temperować	zatemperować
zaostrzać	zaostrzyć
odgwizdywać	odgwizdać
odpowiadać	odpowiedzieć
reagować	zareagować
odgwizdywać	odgwizdać
odgwizdywać	odgwizdać
odgwizdywać	odgwizdać
polować	upolować
znajdować się	znaleźć się
znajdować się	znaleźć się
znajdować się	znaleźć się
odnajdować się	odnaleźć się
odnajdywać się	odnaleźć się
znajdować	znaleźć
znajdować	znaleźć
znajdować	znaleźć
znajdować	znaleźć
znajdować	znaleźć
uczynniać	uczynnić
mazać się	maznąć się
wymazywać	wymazać
wymazywać się	wymazać się
docinać	dociąć
